Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total acceso Tech,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,OTROS,Total acceso Vel,Banda ancha fija,Dial up,Total BAF,Ingresos (miles de pesos),Periodo
2022,2,1468333,5979214,2723285,556.243,231.609,10958684,33.667,99.498,1193090,1197030,856562,485321,6741922,351.594,10958684,10946248,12.436,10958684,60942843,Abr-Jun 2022
2022,1,1533240,6073426,2219533,545.814,251.996,10624009,34.89,104.84,1263273,1209148,967508,509830,6336187,198.333,10624009,10611390,12.619,10624009,56195811,Ene-Mar 2022
2021,4,1657615,5984240,2072236,523.107,252.596,10489794,41.262,28.521,1413208,1245333,976539,558358,6032322,194.251,10489794,10476933,12.861,10489794,45467887,Oct-Dic 2021
2021,3,1950631,5826257,1566048,492.415,250.19,10085541,40.174,41.437,2550229,1095772,710122,536364,4948174,163.269,10085541,10075184,10.357,10085541,42999944,Jul-Sept 2021
2021,2,2018587,5641731,1472246,476.968,253.552,9863084,40.172,42.024,2531271,1080279,693277,647401,4661291,167.369,9863084,9852702,10.382,9863084,38239667,Abr-Jun 2021
2021,1,2175211,5424782,1362976,434.548,250.455,9647972,39.487,41.674,2593477,1072722,737930,595920,4379965,186.797,9647972,9637956,10.016,9647972,36676371,Ene-Mar 2021
2020,4,2213949,5371824,1311199,421.554,253.036,9571562,39.51,42.185,2622638,1073875,786595,582420,4239237,185.102,9571562,9561546,10.016,9571562,33539703,Oct-Dic 2020
2020,3,2263889,5259351,1170879,413.259,248.821,9356199,41.038,44.005,2637984,1040017,799350,538567,4053461,201.777,9356199,9346183,10.016,9356199,31997445,Jul-Sept 2020
2020,2,2295533,5005115,1106725,376.667,247.016,9031056,41.038,48.69,2651502,1053107,807775,523437,3711499,194.008,9031056,9021040,10.016,9031056,32102476,Abr-Jun 2020
2020,1,2299457,4903674,1047817,352.333,209.145,8812426,42.55,56.17,2649819,1022014,814470,532309,3500882,194.212,8812426,8802435,9.991,8812426,29946216,Ene-Mar 2020
2019,4,2414575,4883869,941295,340.144,213.298,8793181,38.272,28.98,2792307,1046128,851619,1004083,2830746,201.046,8793181,8783053,10.128,8793181,24169251,Oct-Dic 2019
2019,3,2909805,4800091,852221,338.241,264.326,9164684,241.713,80.599,3309137,1026859,806466,1141545,2314898,243.467,9164684,9142891,21.793,9164684,21652748,Jul-Sept 2019
2019,2,2990457,4635575,760794,308.027,265.328,8960181,202.79,95.98,3444458,871142,1169632,1250366,1677830,247.983,8960181,8938427,21.754,8960181,20743118,Abr-Jun 2019
2019,1,3132789,4435439,637099,276.419,166.389,8648135,166.573,195.706,3428759,882836,1464748,1244215,1138728,126.57,8648135,8626323,21.812,8648135,20207414,Ene-Mar 2019
2018,4,3329027,4313831,388013,264.299,178.485,8473655,138.74,201.196,3337982,882388,1472634,1688748,599579,152.388,8473655,8451841,21.814,8473655,16637687,Oct-Dic 2018
2018,3,3521447,4238171,247366,246.181,93.87,8347035,5.675,220.589,3401277,859413,1607137,1571692,524777,156.475,8347035,8320223,26.812,8347035,15410981,Jul-Sept 2018
2018,2,3557216,4038141,226285,194.267,94.535,8110444,5.972,219.467,3316868,979416,1905839,1000036,444391,238.455,8110444,8083533,26.911,8110444,14319467,Abr-Jun 2018
2018,1,3574294,3981129,217460,165.3,98.87,8037053,7.309,215.406,3272724,976956,2068087,862010,397977,236.584,8037053,8009981,27.072,8037053,13171459,Ene-Mar 2018
2017,4,3584311,3818157,211425,155.775,100.554,7870222,15.041,221.474,3773159,1005545,1730353,631946,337559,155.145,7870222,7842778,27.444,7870222,11226127,Oct-Dic 2017
2017,3,3622575,3670221,193964,106.443,131.74,7724943,19.022,217.997,4062226,1062810,1592304,353480,245790,0.0,7553629,7696594,28.349,7724943,10065998,Jul-Sept 2017
2017,2,3723518,3383434,180777,85.813,56.122,7429664,22.366,222.766,4416065,990281,1342000,231604,98635,0.0,7323717,7401134,28.53,7429664,9678647,Abr-Jun 2017
2017,1,3708898,3276251,180146,84.813,55.746,7305854,20.653,230.159,4584534,975027,1129987,210668,47990,0.0,7199018,7277314,28.54,7305854,8701201,Ene-Mar 2017
2016,4,3722794,3210602,178070,85.119,55.088,7251673,20.724,233.398,4673339,971094,1038029,169522,38590,0.0,7144696,7223128,28.545,7251673,7483980,Oct-Dic 2016
2016,3,3776442,3124855,169898,81.455,54.3,7206950,20.104,294.413,4816081,936533,919208,124564,31022,0.0,7141925,7178340,28.61,7206950,6912442,Jul-Sept 2016
2016,2,3782085,3035272,167788,85.452,59.482,7130079,44.008,384.221,5058481,796998,785759,73977,29020,0.0,7172464,7097604,32.475,7130079,6534241,Abr-Jun 2016
2016,1,3792493,2806359,164371,85.37,58.763,6907356,30.428,404.81,4944358,762999,641646,27664,23380,0.0,6835285,6874704,32.652,6907356,5936845,Ene-Mar 2016
2015,4,3803024,2898226,139187,85.726,58.668,6984831,34.243,427.394,5049640,726740,639011,17568,22170,0.0,6916766,6952289,32.542,6984831,5376899,Oct-Dic 2015
2015,3,3788696,2840203,162663,84.53,58.976,6935068,35.03,455.777,5087802,701187,539414,13101,20677,0.0,6852988,6902267,32.801,6935068,5153739,Jul-Sept 2015
2015,2,3767821,2756294,150839,82.077,59.157,6816188,40.723,500.175,5138431,645440,432762,10045,18529,0.0,6786105,6783279,32.909,6816188,4701791,Abr-Jun 2015
2015,1,3756153,2668248,168188,79.098,66.045,6737732,41.158,516.919,5121423,571620,348102,7643,16347,0.0,6623212,6699714,38.018,6737732,4876385,Ene-Mar 2015
2014,4,3764038,2536219,149682,76.984,71.573,6598496,44.075,554.749,5084556,496251,276254,4371,15229,0.0,6475485,6559172,39.324,6598496,3950441,Oct-Dic 2014
2014,3,3714764,2569868,155494,85.096,70.049,6595271,37.43,608.018,5153437,373372,182483,507,12424,0.0,6367671,6559264,36.007,6595271,3478638,Jul-Sept 2014
2014,2,3708882,2461670,149363,72.405,72.148,6464468,41.064,656.408,5149574,341689,147273,478,12259,0.0,6348745,6428329,36.139,6464468,3270816,Abr-Jun 2014
2014,1,3697066,2407330,150323,70.749,72.93,6398398,52.684,687.619,5130294,289182,101127,345,11595,0.0,6272846,6362108,36.29,6398398,2984054,Ene-Mar 2014
